"year","sample_size","employment","members","covered","p_members","p_covered","facet"
1996,152190,111960.253477809,16269.3596411834,18158.1172536833,0.145313709974289,0.162183597683907,"all wage and salary workers"
1997,154955,114533.0482837,16109.9231435499,17923.0049707831,0.140657424926758,0.156487628817558,"all wage and salary workers"
1998,156990,116729.912523525,16211.41156695,17918.3321670167,0.138879671692848,0.153502494096756,"all wage and salary workers"
1999,159378,118963.495292667,16476.6929629667,18182.2777945667,0.138502091169357,0.152839139103889,"all wage and salary workers"
2000,161126,120785.625310661,16258.1728889166,17944.1356788,0.134603545069695,0.148561850190163,"all wage and salary workers"
2001,171533,120707.623233025,16288.7714185332,17878.0840759249,0.134944021701813,0.148110643029213,"all wage and salary workers"
2002,184137,119979.246875309,15978.7048884168,17501.6354490251,0.133178904652596,0.145872190594673,"all wage and salary workers"
2003,180830,122357.877961851,15775.9728328749,17448.3634558666,0.128933042287827,0.142601057887077,"all wage and salary workers"
2004,177858,123553.879597528,15471.6044114001,17087.3063930084,0.125221520662308,0.13829842209816,"all wage and salary workers"
2005,179148,125889.262020591,15685.3883998416,17223.3653479083,0.12459671497345,0.13681361079216,"all wage and salary workers"
2006,178661,128237.180937776,15359.1026972417,16860.1801593584,0.119771055877209,0.131476536393166,"all wage and salary workers"
2007,177023,129767.002011366,15670.3469278416,17243.3430966249,0.120757564902306,0.132879257202148,"all wage and salary workers"
2008,174897,129377.176709442,16097.5300574584,17760.5846245167,0.124423258006573,0.137277573347092,"all wage and salary workers"
2009,169727,124489.870765298,15327.2851258834,16903.6025652667,0.123120740056038,0.135782957077026,"all wage and salary workers"
2010,167828,124073.039974242,14715.0562660666,16289.5306507833,0.118599951267242,0.131289854645729,"all wage and salary workers"
2011,166259,125210.120865805,14754.6698590416,16281.0179764499,0.117839276790619,0.130029574036598,"all wage and salary workers"
2012,166084,127603.163319741,14349.3535348416,15905.9051451249,0.112452961504459,0.124651335179806,"all wage and salary workers"
2013,165878,129136.60615942,14515.7527140999,16016.1689746917,0.112406179308891,0.124025009572506,"all wage and salary workers"
2014,167074,131452.779274491,14569.93570145,16142.4400176333,0.110837794840336,0.122800298035145,"all wage and salary workers"
2015,165282,133770.482267698,14786.2805097334,16432.8103475083,0.110534705221653,0.122843317687511,"all wage and salary workers"
2016,165808,136131.888463266,14549.6338494749,16264.5732813832,0.106878951191902,0.119476586580276,"all wage and salary workers"
2017,163781,137912.911884652,14811.5250507584,16436.1293580084,0.107397668063641,0.119177594780922,"all wage and salary workers"
2018,159855,140129.229630467,14740.1883342833,16374.3915735749,0.105189964175224,0.116852074861526,"all wage and salary workers"
2019,154727,141766.446635784,14566.6568157917,16374.919705725,0.102751091122627,0.115506313741207,"all wage and salary workers"
2020,133671,132205.277712434,14250.2335891167,15935.8142330167,0.107788689434528,0.120538413524628,"all wage and salary workers"
2021,134177,136420.823984643,14003.553250775,15795.4425862,0.102649673819542,0.11578468978405,"all wage and salary workers"
2022,129714,141698.497314267,14280.0764765916,15995.8939043832,0.100777894258499,0.11288683116436,"all wage and salary workers"
1973,3022,4661.47625,1774.93855,NA,0.380767464637756,NA,"construction"
1974,2831,4576.69580999998,1641.78936,NA,0.35872808098793,NA,"construction"
1975,2466,4058.82522,1434.97532,NA,0.353544503450394,NA,"construction"
1976,2509,4189.34561999999,1457.4027,NA,0.347883135080338,NA,"construction"
1977,3278,4493.52873,1606.18503,1701.59829,0.357444018125534,0.378677517175674,"construction"
1978,3428,4984.26327,1613.68955,1712.61625,0.323756873607635,0.343604683876038,"construction"
1979,3481,5093.91867999999,1660.09792,1780.81807,0.325897991657257,0.34959688782692,"construction"
1980,4037,4981.92487999999,1573.79727,1651.32397,0.315901458263397,0.331463038921356,"construction"
1981,878,4870.16176,1621.702,1692.91988,0.332987308502197,0.347610592842102,"construction"
1983,9150,4609.24175750001,1292.68915,1400.9823425,0.28045591711998,0.303950726985931,"construction"
1984,9624,5013.73407083334,1216.8223225,1288.53813,0.242697820067406,0.25700169801712,"construction"
1985,9765,5211.79170749999,1202.6134925,1285.5007,0.230748578906059,0.246652349829674,"construction"
1986,9840,5467.51455166667,1271.35492416667,1358.73165416667,0.232528865337372,0.248509928584099,"construction"
1987,9911,5608.06683083335,1230.84899,1320.90999916667,0.21947830915451,0.235537499189377,"construction"
1988,9516,5703.99762999997,1250.56097083334,1333.01897666667,0.21924290060997,0.233699083328247,"construction"
1989,9550,5797.62721750004,1320.46279166667,1402.40779916667,0.227759167551994,0.241893410682678,"construction"
1990,9874,5742.40884583332,1271.41092833333,1355.08378166667,0.221407249569893,0.235978290438652,"construction"
1991,8741,5174.75192499999,1143.75199833333,1223.70267416667,0.221025466918945,0.236475616693497,"construction"
1992,8427,5113.40127583332,1086.57913916667,1159.09909,0.212496355175972,0.226678684353828,"construction"
1993,8369,5194.00612583333,1104.9050025,1162.46493083333,0.212726935744286,0.22380892932415,"construction"
1994,8331,5409.18065559999,1109.69815945,1173.29984265833,0.205150872468948,0.216908976435661,"construction"
1995,8511,5658.43967994167,1071.58094593333,1151.18312229167,0.189377456903458,0.203445330262184,"construction"
1996,7916,5873.97508693331,1157.5626124,1214.76026484167,0.197066307067871,0.206803783774376,"construction"
1997,8168,6201.27337609166,1222.971797875,1287.26879785,0.197213008999825,0.207581371068954,"construction"
1998,8432,6412.49871419165,1212.28800383333,1266.90354291667,0.189050793647766,0.197567850351334,"construction"
1999,8884,6746.59302731666,1362.00361651667,1416.06913793333,0.201880216598511,0.209893956780434,"construction"
2000,9442,7156.89218593329,1389.72497564167,1458.285949525,0.194179952144623,0.203759670257568,"construction"
2001,10287,7329.08492975835,1421.22480605,1475.48914235834,0.193915724754333,0.201319694519043,"construction"
2002,10908,7174.02601720832,1346.36609550833,1398.9853495,0.187672317028046,0.195007011294365,"construction"
2003,10943,7630.35234165834,1335.25028095,1406.423797325,0.174991950392723,0.184319645166397,"construction"
2004,11167,8051.40178957498,1273.35958296667,1347.06436933334,0.158153772354126,0.167308047413826,"construction"
2005,11712,8512.86918750831,1209.20285999166,1280.67381055833,0.142044097185135,0.150439739227295,"construction"
2006,12066,8877.17556688333,1246.5213527,1307.36426589167,0.140418693423271,0.147272542119026,"construction"
2007,11768,9002.46367363333,1358.56044708333,1406.17170660833,0.1509098559618,0.156198546290398,"construction"
2008,10611,8088.75368500833,1331.07378524167,1386.59410443333,0.164558574557304,0.171422466635704,"construction"
2009,9331,7066.01049569168,1130.50847926667,1180.02747295,0.159992471337318,0.167000532150269,"construction"
2010,8551,6549.96204223332,953.729268583332,1001.28449335833,0.145608365535736,0.152868747711182,"construction"
2011,8591,6658.91442553333,1012.52148035,1075.29043093333,0.152055040001869,0.161481335759163,"construction"
2012,8449,6599.78486975834,952.943804683333,997.235946883333,0.144390136003494,0.151101276278496,"construction"
2013,8710,6898.63357588336,1058.63718188333,1119.31317114167,0.153456062078476,0.162251427769661,"construction"
2014,9193,7401.17765629166,1116.83851413333,1184.06867020833,0.150900110602379,0.159983813762665,"construction"
2015,9094,7492.97559300833,1049.50814866667,1110.701880525,0.140065610408783,0.148232415318489,"construction"
2016,9402,7839.58824654166,1149.76749596667,1212.689070125,0.146661713719368,0.154687851667404,"construction"
2017,9522,8185.497076,1218.15597245,1281.69733833333,0.148818820714951,0.156581491231918,"construction"
2018,9547,8534.27074721666,1163.66653038333,1243.91169883333,0.136352196335793,0.145754888653755,"construction"
2019,9406,8736.27861079168,1183.32179935,1270.09623310833,0.135449185967445,0.145381838083267,"construction"
2020,8054,8211.85801335834,1100.90762739167,1168.11025265,0.134063154459,0.142246767878532,"construction"
2021,8232,8558.78314419167,1144.56619045,1238.76985180833,0.133730009198189,0.144736677408218,"construction"
2022,8092,9062.76418545838,1144.418346125,1211.03592540833,0.126276969909668,0.133627653121948,"construction"
1973,13201,20249.1012999999,7866.60761,NA,0.388491690158844,NA,"manufacturing"
1974,12954,20620.9226600002,7803.84447000001,NA,0.378443032503128,NA,"manufacturing"
1975,11464,18620.8591399999,6696.80407000002,NA,0.359639912843704,NA,"manufacturing"
1976,11905,19645.7560499999,6990.84887,NA,0.355845242738724,NA,"manufacturing"
1977,13408,20162.4622600001,7159.28435999999,7583.24361999999,0.355079859495163,0.376107007265091,"manufacturing"
1978,13227,20787.95363,7107.23972000001,7629.60270000001,0.341892212629318,0.36702036857605,"manufacturing"
1979,13488,21377.7078600001,7567.59059,8181.23786999999,0.353994488716125,0.382699489593506,"manufacturing"
1980,15134,20975.6824,6771.10524999999,7308.61537999999,0.322807401418686,0.348432779312134,"manufacturing"
1981,3450,21435.16728,6702.55544000001,7267.11040000001,0.312689661979675,0.339027464389801,"manufacturing"
1983,35796,19223.1002,5353.69556333332,5875.92742,0.278503239154816,0.305670112371445,"manufacturing"
1984,37239,20361.6150324999,5297.89662499997,5792.18622499998,0.260190397500992,0.284465938806534,"manufacturing"
1985,37294,20278.6167424999,5034.657745,5471.56281166666,0.248274222016335,0.269819319248199,"manufacturing"
1986,36515,20442.0249083331,4909.557265,5282.10706916668,0.240169808268547,0.258394509553909,"manufacturing"
1987,36020,20383.9036683334,4732.66049000001,5057.87766416668,0.23217636346817,0.248130962252617,"manufacturing"
1988,34040,20563.2246525,4560.96125333333,4905.78795583334,0.221801847219467,0.23857094347477,"manufacturing"
1989,34531,20830.9463508332,4504.03225416669,4820.74166583336,0.216218322515488,0.231422111392021,"manufacturing"
1990,35279,20626.6887899998,4222.64139500001,4552.90231166668,0.204717367887497,0.22072871029377,"manufacturing"
1991,33442,19873.4767449999,4016.82391666667,4327.70942,0.202119842171669,0.21776308119297,"manufacturing"
1992,32038,19369.6416183333,3805.60586583333,4076.14980333334,0.196472704410553,0.210440129041672,"manufacturing"
1993,30772,18983.9392825,3628.39688083333,3857.66036583333,0.191129818558693,0.203206524252892,"manufacturing"
1994,29999,19379.8414909001,3533.03143658334,3817.37456228333,0.182304456830025,0.196976557374001,"manufacturing"
1995,29475,19626.6922846167,3469.32294869167,3695.83530165001,0.17676554620266,0.188306584954262,"manufacturing"
1996,25517,19736.8682940501,3411.81196253334,3629.42185511667,0.17286491394043,0.183890461921692,"manufacturing"
1997,25814,20033.5441260333,3270.33656361666,3462.78739155833,0.163243040442467,0.172849461436272,"manufacturing"
1998,25385,19821.9138084668,3137.42708779166,3328.00826876666,0.158280730247498,0.167895406484604,"manufacturing"
1999,24855,19408.2181619833,3036.69341624167,3226.59470554167,0.15646430850029,0.166248887777328,"manufacturing"
2000,24494,19230.1070043583,2842.49577138333,3011.46543228332,0.147814869880676,0.156601592898369,"manufacturing"
2001,24782,18220.7937458665,2678.62322032499,2830.87346830833,0.147009134292603,0.155364990234375,"manufacturing"
2002,25144,16994.723411325,2444.57208039167,2577.56537331667,0.14384301006794,0.151668563485146,"manufacturing"
2003,23001,16202.3184474,2192.11748490834,2337.42934714167,0.135296538472176,0.144265115261078,"manufacturing"
2004,22011,15810.2033453001,2052.17975600834,2204.463583875,0.129800975322723,0.139432966709137,"manufacturing"
2005,21561,15596.473118025,2033.95593785,2148.40005864167,0.130411267280579,0.137749090790749,"manufacturing"
2006,21070,15725.1368998583,1850.437782925,1975.70974946667,0.117673873901367,0.125640228390694,"manufacturing"
2007,20392,15437.9668292333,1757.8723147,1875.90869180833,0.113866828382015,0.121512681245804,"manufacturing"
2008,19975,15239.0308541749,1746.16650715,1888.1284874,0.114585138857365,0.123900823295116,"manufacturing"
2009,18053,13571.5403577001,1501.05700461667,1630.832639625,0.110603287816048,0.120165623724461,"manufacturing"
2010,17645,13362.8274326333,1444.13008225833,1569.65234316667,0.108070693910122,0.1174640879035,"manufacturing"
2011,17645,13691.8708067166,1446.85778803333,1546.96789513333,0.105672761797905,0.112984403967857,"manufacturing"
2012,17904,14039.73576425,1359.73759155833,1494.38264870833,0.0968492329120636,0.106439515948296,"manufacturing"
2013,18021,14298.5291521251,1455.49053096667,1585.070659775,0.101793020963669,0.110855504870415,"manufacturing"
2014,17951,14552.8594933834,1420.85867926667,1528.41843895833,0.0976343303918838,0.105025298893452,"manufacturing"
2015,17512,14612.8109778915,1379.02504695,1476.869094425,0.09437096118927,0.101066738367081,"manufacturing"
2016,17576,14887.4703375916,1320.90925525833,1451.346326875,0.0887262374162674,0.0974877700209618,"manufacturing"
2017,17107,14756.9487490083,1349.44099525833,1484.40907850833,0.0914444476366043,0.100590512156487,"manufacturing"
2018,16661,14951.7040049833,1358.90843655,1466.255761675,0.0908865258097649,0.0980661287903786,"manufacturing"
2019,16256,15179.8923784916,1306.7937747,1448.39413651667,0.0860871598124504,0.0954153090715408,"manufacturing"
2020,13799,13975.3963610833,1190.32632836667,1301.09209748333,0.0851729959249496,0.0930987596511841,"manufacturing"
2021,13812,14246.9427945417,1105.5635821,1230.92070654167,0.0776000544428825,0.0863989368081093,"manufacturing"
2022,13175,14696.4641264583,1161.47777428333,1278.82435388333,0.0790311023592949,0.0870157852768898,"manufacturing"
1973,9660,14788.86188,1781.68637,NA,0.120474882423878,NA,"wholesale/retail"
1974,9419,14992.84488,1715.33192,NA,0.114410035312176,NA,"wholesale/retail"
1975,9477,15392.9927,1636.84365,NA,0.106336936354637,NA,"wholesale/retail"
1976,9733,16009.11076,1725.10105,NA,0.107757456600666,NA,"wholesale/retail"
1977,11753,16599.31728,1774.51371,1924.70953,0.106902815401554,0.115951128304005,"wholesale/retail"
1978,11765,17230.56416,1701.39905,1896.65371,0.0987430810928345,0.110074959695339,"wholesale/retail"
1979,11734,17556.25996,1812.79399,2028.59959,0.103256277740002,0.115548506379128,"wholesale/retail"
1980,13664,17400.55627,1752.76718,1896.47923,0.100730523467064,0.108989574015141,"wholesale/retail"
1981,3128,18092.71508,1720.23324,1950.47572,0.095078781247139,0.107804477214813,"wholesale/retail"
1983,35710,18166.8918149999,1590.50039666667,1808.00587583334,0.0875493958592415,0.0995220243930817,"wholesale/retail"
1984,36411,18939.0880599998,1504.4194475,1683.73415583334,0.0794346332550049,0.0889026001095772,"wholesale/retail"
1985,37111,19508.2693924998,1412.16972166667,1568.231035,0.0723882615566254,0.0803880169987679,"wholesale/retail"
1986,36756,19948.2644158333,1439.26753833333,1571.32540416666,0.0721500143408775,0.0787700340151787,"wholesale/retail"
1987,37252,20514.3083374999,1452.13865166667,1588.15234583333,0.0707866251468658,0.0774168148636818,"wholesale/retail"
1988,35368,20689.9601433335,1396.95859333333,1575.1987875,0.0675186663866043,0.0761334821581841,"wholesale/retail"
1989,36268,21240.9398191665,1332.6112775,1492.72458833333,0.0627378672361374,0.0702758282423019,"wholesale/retail"
1990,37862,21739.3202433335,1369.57628333333,1535.00998,0.0629999563097954,0.0706098452210426,"wholesale/retail"
1991,36720,21490.5728966668,1437.8371725,1591.4902,0.0669054836034775,0.0740552693605423,"wholesale/retail"
1992,36435,21844.8056566667,1440.89293083333,1589.66480583333,0.0659604370594025,0.0727708339691162,"wholesale/retail"
1993,36078,22132.1648058333,1396.26511,1538.6339725,0.063087597489357,0.0695202648639679,"wholesale/retail"
1994,35071,22408.5124222667,1391.94155766667,1538.976182375,0.0621166415512562,0.068678192794323,"wholesale/retail"
1995,35348,23128.4180300085,1410.49540305833,1567.17292604167,0.0609853826463223,0.0677596256136894,"wholesale/retail"
1996,32005,23751.0899596667,1343.20135924167,1489.396269275,0.0565532520413399,0.0627085417509079,"wholesale/retail"
1997,31960,23772.7323003751,1329.43227578333,1486.80146634166,0.0559225678443909,0.0625423043966293,"wholesale/retail"
1998,32584,24354.3751888582,1295.15767870833,1404.75162545833,0.053179670125246,0.0576796419918537,"wholesale/retail"
1999,32924,24771.6732927083,1290.98043324167,1421.06968701667,0.052115187048912,0.0573667213320732,"wholesale/retail"
2000,33339,25231.2545861666,1209.30440451667,1333.45681525,0.0479288250207901,0.0528494045138359,"wholesale/retail"
2001,35360,25191.9785341914,1187.43846135833,1301.26054065833,0.0471355766057968,0.051653765141964,"wholesale/retail"
2002,38057,25204.7463251333,1143.75467345,1260.510169675,0.0453785434365273,0.0500108264386654,"wholesale/retail"
2003,27201,18420.3377126251,1136.66922064166,1220.13640421667,0.0617072954773903,0.0662385448813438,"wholesale/retail"
2004,26986,18847.2340760916,1041.03946548333,1122.068318925,0.0552356615662575,0.0595349073410034,"wholesale/retail"
2005,27029,19100.5848699501,1037.80502361667,1145.82341715833,0.0543336793780327,0.0599889196455479,"wholesale/retail"
2006,26641,19349.4293012251,967.54515815,1038.862439325,0.0500038079917431,0.0536895655095577,"wholesale/retail"
2007,25742,18998.7790189999,1000.39286995833,1087.712032325,0.052655640989542,0.0572516806423664,"wholesale/retail"
2008,25298,18748.5250905751,987.787161925001,1111.36310029167,0.0526861250400543,0.0592773631215096,"wholesale/retail"
2009,24331,17953.0763219917,947.078370358334,1042.40732684167,0.0527529865503311,0.058062881231308,"wholesale/retail"
2010,24022,17914.2710116748,876.968732024999,970.477095608333,0.0489536374807358,0.054173406213522,"wholesale/retail"
2011,23592,18118.1559565499,874.765487808335,975.670564200002,0.048281155526638,0.0538504347205162,"wholesale/retail"
2012,23486,18312.5849931166,872.163299224999,978.825326999999,0.0476264432072639,0.0534509643912315,"wholesale/retail"
2013,23042,18117.1779048168,848.490662333334,937.976346300001,0.0468334890902042,0.0517727620899677,"wholesale/retail"
2014,23174,18498.375816825,782.200092116667,910.23096055,0.0422847978770733,0.0492059923708439,"wholesale/retail"
2015,22976,18925.9815304251,886.834237183335,981.240204350001,0.0468580313026905,0.0518461987376213,"wholesale/retail"
2016,22476,18625.0133169334,792.236018758333,899.611215216666,0.0425361320376396,0.048301238566637,"wholesale/retail"
2017,22127,18899.2193411082,849.317338625001,952.464347750001,0.0449392832815647,0.0503970198333263,"wholesale/retail"
2018,21271,18824.2754200999,819.564849524998,942.357727891665,0.0435376577079296,0.0500607714056969,"wholesale/retail"
2019,19841,18209.5841456583,751.435538491666,873.582332758333,0.0412659347057343,0.0479737669229507,"wholesale/retail"
2020,17598,17508.9144811001,799.570280100001,887.708504025,0.0456664673984051,0.0507003739476204,"wholesale/retail"
2021,17849,18170.7540465999,783.147231516668,894.391934233334,0.0430993251502514,0.049221508204937,"wholesale/retail"
2022,16499,17980.1751688501,748.72451315,867.454390099999,0.0416416712105274,0.048245046287775,"wholesale/retail"
1973,3828,5949.24816999999,3046.09271,NA,0.512013077735901,NA,"transportation, communication, and utilities"
1974,3829,6195.52080999999,3125.65285,NA,0.504502058029175,NA,"transportation, communication, and utilities"
1975,3628,5940.54331000001,2926.50116000001,NA,0.492631912231445,NA,"transportation, communication, and utilities"
1976,3590,5978.76631999999,2954.37326,NA,0.494144290685654,NA,"transportation, communication, and utilities"
1977,4344,6146.72286,3094.99053,3362.18744,0.50351881980896,0.546988606452942,"transportation, communication, and utilities"
1978,4388,6485.39759,3248.28193,3487.83612,0.500860869884491,0.537798345088959,"transportation, communication, and utilities"
1979,4519,6706.24919000003,3428.93899999999,3684.92796999999,0.511305034160614,0.549476742744446,"transportation, communication, and utilities"
1980,5310,6739.47793,3412.67516999999,3682.58318999999,0.506370842456818,0.546419680118561,"transportation, communication, and utilities"
1981,1165,6839.20768,3140.0564,3372.40916,0.459125757217407,0.493099391460419,"transportation, communication, and utilities"
1983,12986,6536.07468583335,3033.96947083333,3330.57154916667,0.464188307523727,0.509567558765411,"transportation, communication, and utilities"
1984,13212,6930.17561666667,2984.05172083333,3276.71484083333,0.430588185787201,0.472818434238434,"transportation, communication, and utilities"
1985,13537,7106.71893499999,2961.84084583334,3210.70769666668,0.416766285896301,0.451784819364548,"transportation, communication, and utilities"
1986,13251,7208.36575083333,2936.05832333333,3192.18468666666,0.407312631607056,0.442844450473785,"transportation, communication, and utilities"
1987,13364,7411.59313749998,2914.34998583333,3170.154255,0.39321506023407,0.42772912979126,"transportation, communication, and utilities"
1988,12942,7642.65047583329,2967.59481,3198.09762,0.388293921947479,0.418453991413116,"transportation, communication, and utilities"
1989,13045,7691.80403833332,2870.32942166667,3109.33990083334,0.373167246580124,0.404240667819977,"transportation, communication, and utilities"
1990,13638,7733.50594916665,2914.70051333331,3165.96025499998,0.376892507076263,0.409382283687591,"transportation, communication, and utilities"
1991,13344,7714.72382416663,2869.58709916666,3095.869615,0.371962398290634,0.401293635368347,"transportation, communication, and utilities"
1992,13102,7836.94212499998,2855.69028083333,3076.5643875,0.364388346672058,0.392572045326233,"transportation, communication, and utilities"
1993,12953,7995.18723333335,2880.90792249999,3097.87286999999,0.360330253839493,0.387467205524445,"transportation, communication, and utilities"
1994,12680,8143.63944307501,2846.74754870835,3077.93206800835,0.349566996097565,0.377955347299576,"transportation, communication, and utilities"
1995,12444,8140.79583065003,2770.12218494167,2974.013195675,0.340276569128036,0.365322172641754,"transportation, communication, and utilities"
1996,10984,8180.5368278583,2692.29446993333,2888.94734075,0.329109758138657,0.353148877620697,"transportation, communication, and utilities"
1997,11369,8524.40247422501,2736.13848109167,2921.44541463333,0.32097715139389,0.342715561389923,"transportation, communication, and utilities"
1998,11569,8767.4018839417,2794.72800051666,2951.12609863333,0.3187635242939,0.336602121591568,"transportation, communication, and utilities"
1999,11867,8943.99042070834,2795.03745451666,2966.77637589999,0.312504529953003,0.331706136465073,"transportation, communication, and utilities"
2000,12123,9162.99765761669,2755.696334175,2919.99358698333,0.300741791725159,0.318672299385071,"transportation, communication, and utilities"
2001,12667,9038.08439024171,2707.773058575,2862.6371739,0.299595892429352,0.316730529069901,"transportation, communication, and utilities"
2002,13483,8958.74355109168,2651.09721215833,2815.17928607499,0.295922875404358,0.31423819065094,"transportation, communication, and utilities"
2003,14324,9921.48453182499,2637.104981,2806.91863791667,0.265797406435013,0.28291317820549,"transportation, communication, and utilities"
2004,13626,9629.479237675,2539.10226513333,2707.20792640833,0.263680130243301,0.281137526035309,"transportation, communication, and utilities"
2005,13770,9848.5584818583,2530.04463364167,2676.86288709167,0.256894916296005,0.271802514791489,"transportation, communication, and utilities"
2006,13784,10127.6044686666,2492.00886967501,2655.40964525,0.24606104195118,0.262195229530334,"transportation, communication, and utilities"
2007,13798,10400.1373351583,2449.93389015,2615.29313063333,0.235567450523376,0.251467168331146,"transportation, communication, and utilities"
2008,13620,10336.4609933584,2495.14850378333,2663.49930806667,0.24139292538166,0.257679998874664,"transportation, communication, and utilities"
2009,12854,9622.59542439999,2248.53020941667,2417.93193781667,0.233671903610229,0.25127649307251,"transportation, communication, and utilities"
2010,12651,9531.80671198333,2221.25303167501,2370.18741508334,0.233035892248154,0.248660877346992,"transportation, communication, and utilities"
2011,12453,9575.07756144165,2197.053716775,2327.630499725,0.229455441236496,0.243092596530914,"transportation, communication, and utilities"
2012,12216,9551.20306397501,2158.65746380834,2315.90371202501,0.226008966565132,0.24247245490551,"transportation, communication, and utilities"
2013,12120,9682.54035314998,2115.254438125,2249.063273275,0.218460693955421,0.232280284166336,"transportation, communication, and utilities"
2014,12304,9879.7723758666,2107.64042995,2240.37300896668,0.213328838348389,0.226763620972633,"transportation, communication, and utilities"
2015,11758,9725.21921367502,2023.48174975834,2172.10379475834,0.208065405488014,0.223347544670105,"transportation, communication, and utilities"
2016,11877,9941.25421500832,2081.34392456667,2259.50354070834,0.209364324808121,0.22728556394577,"transportation, communication, and utilities"
2017,11814,10198.8547115167,2113.41684739167,2261.05738971667,0.207221001386642,0.221697181463242,"transportation, communication, and utilities"
2018,11673,10519.11774265,2112.93205265833,2241.87467390833,0.200865894556046,0.213123828172684,"transportation, communication, and utilities"
2019,11130,10574.3521131417,2081.0832517,2247.148490075,0.19680480659008,0.212509334087372,"transportation, communication, and utilities"
2020,9888,10006.268723725,2017.16797810834,2166.43735724167,0.201590433716774,0.216508015990257,"transportation, communication, and utilities"
2021,10218,10827.577315575,1990.215622375,2160.21543735,0.183809876441956,0.199510499835014,"transportation, communication, and utilities"
2022,10081,11469.6547916917,2048.17211214167,2182.95442076666,0.178573131561279,0.190324336290359,"transportation, communication, and utilities"
1973,2659,4105.06821,180.64326,NA,0.0440049357712269,NA,"finance, insurance, and real estate"
1974,2633,4193.40074999999,164.80031,NA,0.0392999202013016,NA,"finance, insurance, and real estate"
1975,2605,4259.23146,167.45158,NA,0.0393149740993977,NA,"finance, insurance, and real estate"
1976,2647,4365.49026,169.73605,NA,0.0388813242316246,NA,"finance, insurance, and real estate"
1977,3106,4481.73089,233.26736,275.12846,0.052048496901989,0.0613888837397098,"finance, insurance, and real estate"
1978,3153,4756.74694,240.2228,294.42118,0.0505014881491661,0.061895489692688,"finance, insurance, and real estate"
1979,3311,5053.50844,242.95735,311.34282,0.0480769649147987,0.0616092421114445,"finance, insurance, and real estate"
1980,3962,5152.03611000001,190.39283,249.78836,0.0369548723101616,0.0484834238886833,"finance, insurance, and real estate"
1981,943,5594.28327999999,213.91604,312.74908,0.0382383279502392,0.0559051185846329,"finance, insurance, and real estate"
1983,10895,5708.49878666664,193.453183333333,270.1941675,0.0338886268436909,0.047331914305687,"finance, insurance, and real estate"
1984,11160,5953.65480583334,194.588639166667,276.838516666667,0.0326838977634907,0.0464989207684994,"finance, insurance, and real estate"
1985,11618,6188.74724666667,217.732543333333,290.12033,0.0351820066571236,0.0468786843121052,"finance, insurance, and real estate"
1986,12066,6582.48617166665,206.551835,273.585720833333,0.0313789993524551,0.0415626727044582,"finance, insurance, and real estate"
1987,12488,6928.69208166668,208.431555833333,274.770850833333,0.0300823803991079,0.0396569594740868,"finance, insurance, and real estate"
